,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total  Inventories,6,11,32,110,236,374,665,"1,055","1,557","2,218","3,267","5,094","7,162","10,751","16,606","22,144","26,752","30,920","33,953","36,553","38,419","39,466","39,990","39,015","38,278","38,799","40,616","43,026","45,695","47,182","47,769","47,698","49,698","51,170","53,499","55,352","56,530","58,570","60,818","62,678","64,408","70,374","68,387","65,623","63,657","61,229","58,326","52,463","48,830","45,580","42,366","39,484","36,776","35,387","34,677","34,004","33,190","31,902","30,820","29,627","28,358","27,061","25,533","23,855","22,524","21,234","20,035","18,855","17,680","16,370","15,795","15,233","14,550","14,480","13,875","13,160","13,100","12,705"
Russia,,,,,1,5,25,50,120,150,200,426,660,863,"1,048","1,627","2,492","3,346","4,259","5,242","6,144","7,091","8,400","9,490","10,671","11,736","13,279","14,600","15,878","17,286","19,235","22,165","24,281","26,169","28,258","30,665","32,146","33,486","35,130","36,825","38,582","40,159","38,107","36,538","35,078","32,980","29,154","26,734","24,403","21,339","18,179","15,942","15,442","14,368","13,188","12,188","11,152","10,114","9,076","8,038","7,000","6,643","6,286","5,929","5,527","5,215","4,858","4,750","4,650","4,600","4,500","4,490","4,300","4,350","4,330","4,310","4,495","4,477"
US,2,9,13,50,170,299,438,841,"1,169","1,703","2,422","3,692","5,543","7,345","12,298","18,638","22,229","25,540","28,133","29,463","31,139","31,175","31,255","29,561","27,552","26,008","25,830","26,516","27,835","28,537","27,519","25,914","25,542","24,418","24,138","24,104","23,208","22,886","23,305","23,459","23,368","23,317","23,575","23,205","22,217","21,392","19,008","13,708","11,511","10,979","10,904","11,011","10,903","10,732","10,685","10,577","10,526","10,457","10,027","8,570","8,360","7,853","5,709","5,273","5,113","5,066","4,897","4,881","4,804","4,717","4,571","4,018","3,822","3,785","3,805","3,750","3,708","3,708"
China,,,,,,,,,,,,,,,,,,,,1,5,20,25,35,50,75,100,130,150,170,180,180,180,190,195,205,210,216,218,220,222,224,226,228,230,232,234,234,234,234,234,234,232,232,232,232,235,235,235,235,235,235,235,235,240,240,240,240,250,250,260,260,270,280,290,350,350,350
France,,,,,,,,,,,,,,,,,,,,4,32,36,36,36,36,36,45,70,116,145,188,212,228,235,235,250,274,274,279,280,360,355,420,410,410,505,540,540,525,510,500,450,450,450,450,470,350,350,350,350,350,350,350,300,300,300,300,300,300,300,300,300,300,300,300,290,290,290
UK,,,,,,,,,1,5,10,50,58,60,78,105,155,211,256,271,271,281,355,317,306,375,412,423,500,500,500,500,500,500,500,500,500,385,380,350,350,350,350,350,350,350,350,250,250,250,234,203,203,240,240,280,280,280,280,280,280,225,225,225,225,225,225,225,225,220,215,215,215,210,205,195,180,180
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,14,20,26,32,38,44,50,60,70,80,90,100,110,115,120,125,130,140,150,150,160,165,165
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,13,18,23,28,33,38,43,50,60,70,80,90,100,110,100,110,120,130,140,140,150,160,160
Israel,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,11,13,15,17,20,22,24,26,29,31,33,35,38,40,42,44,47,49,51,53,56,58,60,62,63,64,66,68,70,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,90,90,90
North  Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,15,20,25,35,20,20
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
