Country,year,nuclear_weapons
Russia,1945,NA
Russia,1946,NA
Russia,1947,NA
Russia,1948,NA
Russia,1949,1
Russia,1950,5
Russia,1951,25
Russia,1952,50
Russia,1953,120
Russia,1954,150
Russia,1955,200
Russia,1956,426
Russia,1957,660
Russia,1958,863
Russia,1959,1048
Russia,1960,1627
Russia,1961,2492
Russia,1962,3346
Russia,1963,4259
Russia,1964,5242
Russia,1965,6144
Russia,1966,7091
Russia,1967,8400
Russia,1968,9490
Russia,1969,10671
Russia,1970,11736
Russia,1971,13279
Russia,1972,14600
Russia,1973,15878
Russia,1974,17286
Russia,1975,19235
Russia,1976,22165
Russia,1977,24281
Russia,1978,26169
Russia,1979,28258
Russia,1980,30665
Russia,1981,32146
Russia,1982,33486
Russia,1983,35130
Russia,1984,36825
Russia,1985,38582
Russia,1986,40159
Russia,1987,38107
Russia,1988,36538
Russia,1989,35078
Russia,1990,32980
Russia,1991,29154
Russia,1992,26734
Russia,1993,24403
Russia,1994,21339
Russia,1995,18179
Russia,1996,15942
Russia,1997,15442
Russia,1998,14368
Russia,1999,13188
Russia,2000,12188
Russia,2001,11152
Russia,2002,10114
Russia,2003,9076
Russia,2004,8038
Russia,2005,7000
Russia,2006,6643
Russia,2007,6286
Russia,2008,5929
Russia,2009,5527
Russia,2010,5215
Russia,2011,4858
Russia,2012,4750
Russia,2013,4650
Russia,2014,4600
Russia,2015,4500
Russia,2016,4490
Russia,2017,4300
Russia,2018,4350
Russia,2019,4330
Russia,2020,4310
Russia,2021,4495
Russia,2022,4477
US,1945,2
US,1946,9
US,1947,13
US,1948,50
US,1949,170
US,1950,299
US,1951,438
US,1952,841
US,1953,1169
US,1954,1703
US,1955,2422
US,1956,3692
US,1957,5543
US,1958,7345
US,1959,12298
US,1960,18638
US,1961,22229
US,1962,25540
US,1963,28133
US,1964,29463
US,1965,31139
US,1966,31175
US,1967,31255
US,1968,29561
US,1969,27552
US,1970,26008
US,1971,25830
US,1972,26516
US,1973,27835
US,1974,28537
US,1975,27519
US,1976,25914
US,1977,25542
US,1978,24418
US,1979,24138
US,1980,24104
US,1981,23208
US,1982,22886
US,1983,23305
US,1984,23459
US,1985,23368
US,1986,23317
US,1987,23575
US,1988,23205
US,1989,22217
US,1990,21392
US,1991,19008
US,1992,13708
US,1993,11511
US,1994,10979
US,1995,10904
US,1996,11011
US,1997,10903
US,1998,10732
US,1999,10685
US,2000,10577
US,2001,10526
US,2002,10457
US,2003,10027
US,2004,8570
US,2005,8360
US,2006,7853
US,2007,5709
US,2008,5273
US,2009,5113
US,2010,5066
US,2011,4897
US,2012,4881
US,2013,4804
US,2014,4717
US,2015,4571
US,2016,4018
US,2017,3822
US,2018,3785
US,2019,3805
US,2020,3750
US,2021,3708
US,2022,3708
China,1945,NA
China,1946,NA
China,1947,NA
China,1948,NA
China,1949,NA
China,1950,NA
China,1951,NA
China,1952,NA
China,1953,NA
China,1954,NA
China,1955,NA
China,1956,NA
China,1957,NA
China,1958,NA
China,1959,NA
China,1960,NA
China,1961,NA
China,1962,NA
China,1963,NA
China,1964,1
China,1965,5
China,1966,20
China,1967,25
China,1968,35
China,1969,50
China,1970,75
China,1971,100
China,1972,130
China,1973,150
China,1974,170
China,1975,180
China,1976,180
China,1977,180
China,1978,190
China,1979,195
China,1980,205
China,1981,210
China,1982,216
China,1983,218
China,1984,220
China,1985,222
China,1986,224
China,1987,226
China,1988,228
China,1989,230
China,1990,232
China,1991,234
China,1992,234
China,1993,234
China,1994,234
China,1995,234
China,1996,234
China,1997,232
China,1998,232
China,1999,232
China,2000,232
China,2001,235
China,2002,235
China,2003,235
China,2004,235
China,2005,235
China,2006,235
China,2007,235
China,2008,235
China,2009,240
China,2010,240
China,2011,240
China,2012,240
China,2013,250
China,2014,250
China,2015,260
China,2016,260
China,2017,270
China,2018,280
China,2019,290
China,2020,350
China,2021,350
China,2022,350
France,1945,NA
France,1946,NA
France,1947,NA
France,1948,NA
France,1949,NA
France,1950,NA
France,1951,NA
France,1952,NA
France,1953,NA
France,1954,NA
France,1955,NA
France,1956,NA
France,1957,NA
France,1958,NA
France,1959,NA
France,1960,NA
France,1961,NA
France,1962,NA
France,1963,NA
France,1964,4
France,1965,32
France,1966,36
France,1967,36
France,1968,36
France,1969,36
France,1970,36
France,1971,45
France,1972,70
France,1973,116
France,1974,145
France,1975,188
France,1976,212
France,1977,228
France,1978,235
France,1979,235
France,1980,250
France,1981,274
France,1982,274
France,1983,279
France,1984,280
France,1985,360
France,1986,355
France,1987,420
France,1988,410
France,1989,410
France,1990,505
France,1991,540
France,1992,540
France,1993,525
France,1994,510
France,1995,500
France,1996,450
France,1997,450
France,1998,450
France,1999,450
France,2000,470
France,2001,350
France,2002,350
France,2003,350
France,2004,350
France,2005,350
France,2006,350
France,2007,350
France,2008,300
France,2009,300
France,2010,300
France,2011,300
France,2012,300
France,2013,300
France,2014,300
France,2015,300
France,2016,300
France,2017,300
France,2018,300
France,2019,300
France,2020,290
France,2021,290
France,2022,290
UK,1945,NA
UK,1946,NA
UK,1947,NA
UK,1948,NA
UK,1949,NA
UK,1950,NA
UK,1951,NA
UK,1952,NA
UK,1953,1
UK,1954,5
UK,1955,10
UK,1956,50
UK,1957,58
UK,1958,60
UK,1959,78
UK,1960,105
UK,1961,155
UK,1962,211
UK,1963,256
UK,1964,271
UK,1965,271
UK,1966,281
UK,1967,355
UK,1968,317
UK,1969,306
UK,1970,375
UK,1971,412
UK,1972,423
UK,1973,500
UK,1974,500
UK,1975,500
UK,1976,500
UK,1977,500
UK,1978,500
UK,1979,500
UK,1980,500
UK,1981,500
UK,1982,385
UK,1983,380
UK,1984,350
UK,1985,350
UK,1986,350
UK,1987,350
UK,1988,350
UK,1989,350
UK,1990,350
UK,1991,350
UK,1992,250
UK,1993,250
UK,1994,250
UK,1995,234
UK,1996,203
UK,1997,203
UK,1998,240
UK,1999,240
UK,2000,280
UK,2001,280
UK,2002,280
UK,2003,280
UK,2004,280
UK,2005,280
UK,2006,225
UK,2007,225
UK,2008,225
UK,2009,225
UK,2010,225
UK,2011,225
UK,2012,225
UK,2013,225
UK,2014,220
UK,2015,215
UK,2016,215
UK,2017,215
UK,2018,210
UK,2019,205
UK,2020,195
UK,2021,180
UK,2022,180
Pakistan,1945,NA
Pakistan,1946,NA
Pakistan,1947,NA
Pakistan,1948,NA
Pakistan,1949,NA
Pakistan,1950,NA
Pakistan,1951,NA
Pakistan,1952,NA
Pakistan,1953,NA
Pakistan,1954,NA
