year,Country,terrorist_attacks,terrorist_attack_injuries,terrorist_attack_fatalities
1968,Argentina,6,0,0
1968,Dominican Republic,6,0,0
1968,Uruguay,2,0,0
1968,Chile,3,0,0
1968,United States,36,0,0
1968,Israel,13,165,21
1968,Ecuador,4,0,0
1968,Israel,13,165,21
1968,Colombia,2,0,0
1968,Argentina,6,0,0
1968,Chile,3,0,0
1968,Guatemala,2,0,1
1968,Austria,2,0,0
1968,Chile,3,0,0
1968,France,4,0,0
1968,France,4,0,0
1968,France,4,0,0
1968,Israel,13,165,21
1968,Brazil,4,3,1
1968,United States,36,0,0
1968,Austria,2,0,0
1968,Spain,1,0,0
1968,Canada,3,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Brazil,4,3,1
1968,Dominican Republic,6,0,0
1968,Uruguay,2,0,0
1968,Canada,3,0,0
1968,Belgium,2,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Bahamas,1,0,1
1968,Dominican Republic,6,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Denmark,1,0,0
1968,Norway,1,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Ecuador,4,0,0
1968,Italy,1,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Israel,13,165,21
1968,United States,36,0,0
1968,Turkey,1,0,0
1968,United States,36,0,0
1968,Israel,13,165,21
1968,Israel,13,165,21
1968,Israel,13,165,21
1968,Guatemala,2,0,1
1968,United States,36,0,0
1968,Israel,13,165,21
1968,Canada,3,0,0
1968,Israel,13,165,21
1968,United States,36,0,0
1968,Israel,13,165,21
1968,Argentina,6,0,0
1968,Argentina,6,0,0
1968,Dominican Republic,6,0,0
1968,Dominican Republic,6,0,0
1968,Dominican Republic,6,0,0
1968,Argentina,6,0,0
1968,Bolivia,1,0,0
1968,Brazil,4,3,1
1968,Colombia,2,0,0
1968,United States,36,0,0
1968,Argentina,6,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,United States,36,0,0
1968,Federal Republic of Germany,1,0,3
1968,Brazil,4,3,1
1968,Ecuador,4,0,0
1968,United States,36,0,0
1968,France,4,0,0
1968,Belgium,2,0,0
1968,Israel,13,165,21
1968,Ecuador,4,0,0
1968,Greece,1,1,1
1968,Israel,13,165,21
1968,Israel,13,165,21
1969,Greece,6,13,1
1969,Federal Republic of Germany,9,2,0
1969,Bolivia,5,0,0
1969,Spain,2,0,0
1969,Switzerland,1,6,1
1969,Israel,6,49,4
1969,Israel,6,49,4
1969,Federal Republic of Germany,9,2,0
1969,Australia,4,0,0
1969,Australia,4,0,0
1969,Ecuador,3,1,1
1969,Israel,6,49,4
1969,Federal Republic of Germany,9,2,0
1969,Federal Republic of Germany,9,2,0
1969,Denmark,2,0,0
1969,Canada,2,0,0
1969,Bolivia,5,0,0
1969,Jordan,2,0,0
1969,Angola,1,0,0
1969,United States,2,0,0
1969,Australia,4,0,0
1969,Greece,6,13,1
1969,Brazil,3,2,0
1969,United States,2,0,0
1969,Italy,2,0,0
1969,Pakistan,1,0,0
1969,Argentina,26,0,0
1969,Israel,6,49,4
1969,Uruguay,1,0,0
1969,Israel,6,49,4
1969,Argentina,26,0,0
1969,Federal Republic of Germany,9,2,0
