Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158659218,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,73948006933,75393279144,77060439578,78504267982,81254156823,76513281436,75324102030,76288019175,79362353526,85092957697,85299083784,88547619220,93827920012,95460595736,95193319761,93791945890,96494750329,1.06983E+11,1.10281E+11,1.19905E+11,1.29025E+11,1.33513E+11,1.38324E+11,1.51133E+11,1.58097E+11,1.64492E+11,1.71374E+11,1.77604E+11,1.8716E+11,2.04653E+11,2.20383E+11,2.43131E+11,2.55573E+11,2.36823E+11,2.50037E+11,2.27089E+11,1.96056E+11,2.05227E+11,2.18983E+11,2.11556E+11,2.04906E+11,2.08427E+11,2.16295E+11,2.14494E+11,1.93022E+11,2.08497E+11
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58889748418,61220668998,53158154744,57976810793,61211312618,61459981991,60036915466,71144404464,72334428874,70266143377,72112071430,65104243074,68697886174,73076084704,75278158460,81047759597,1.05164E+11,98848362727,1.17358E+11,1.02387E+11,1.10555E+11,1.27564E+11,1.3061E+11,1.1663E+11,1.30344E+11,1.32819E+11,1.39292E+11,1.54212E+11,1.56113E+11,1.73013E+11,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15936876236,15729696848,17788714163,21867666320,24992555838,29131323088,32225069598,31370938041,30624644706,29055406874,30566248664,30207431237,30420282562,25951749083,21177788691,20912847679,18670183892,17563597550,16464116347,14703172492
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326109796.8,266515063.8,356686380.7,617412664.2,857470735.9,990002860.9,1025171414,1145867419,1357667967,1687131306,1972719244,2349749309,2241060080,2346648431,2797054267,2983732330,2992492281,3040042848,3075088502,3104896965,3457010821,3914838502,4072440421,4179781429,3015234052,4417690607
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61505E+11,5.53055E+11,6.33524E+11,7.03458E+11,7.66683E+11,8.15822E+11,8.60527E+11,9.12973E+11,8.51629E+11,8.9672E+11,9.16516E+11,1.0062E+12,1.02045E+12,1.01234E+12,1.04124E+12,1.06384E+12,1.09432E+12,1.19467E+12,1.16945E+12,1.02622E+12,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95474047478,98481870212,1.21044E+11,1.50754E+11,1.68064E+11,1.87444E+11,2.03999E+11,2.29366E+11,2.19505E+11,2.33246E+11,2.7072E+11,3.17971E+11,3.37347E+11,3.43426E+11,3.61253E+11,3.73553E+11,3.64138E+11,4.06018E+11,4.0058E+11,3.7244E+11,
Argentina,5232423634,4675767446,6791012783,6791012783,6234376464,6791012783,7904292801,7904292801,7347660172,8906251165,9013135452,8118046000,8282808732,9440628604,9462883795,8583388374,11288671242,14372484707,15652680713,15151716646,14372484707,15120415374,15717150491,16123062538,15705233732,18148029532,16284164980,15717150491,18659332789,20045781619,23656348274,22799008062,22564247944,23463026770,27051830214,33146105665,35680720379,40025718989,44277808444,43719784992,44901264662,46132004177,47558846393,50410174347,54500535536,61523927130,64945397756,70247833529,70767579314,64152858356,73068125669,76099586869,72973178923,70404347639,65490710336,63671789069,67057443560,68811257872,69255776018,75559565987,62467474970,68082637272
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322190475,685215201.7,739059783.6,688211605.6,687729133.7,779493099.7,925721968.3,1178101895,1583599518,2067475234,2015694761,2344004145,2171975730,2095777830,1821650394,1631549237,2063909295,2371396211,2588036947,2810608124,2990487044,3137020909,3805206363,4539611191,4766591751,5529246431,3682478123,4290087013
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771192592.6,756133333.3,632488888.9,664985185.2,620600000,628525925.9,626148148.1,492200000,413733333.3,365385185.2,382822222.2,381237037,398674074.1,428000000,423244444.4,330511111.1,374896296.3,355081481.5,390748148.1,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016370370,,,,,,
Australia,14471140273,15192483532,17250934269,16866762788,19647919095,19596151306,19880874142,22061251643,23120447836,24627844090,28672543123,31445525568,33800278777,34481433885,32397099254,35566513972,36956070393,39596227592,40487859629,43360971875,46424807551,44170865298,45214394924,45449393436,48917835247,56469801931,58606585506,64481548313,69930789179,70656219369,73955734713,82280812445,90060284935,96734242685,1.05913E+11,1.10587E+11,1.21602E+11,1.34836E+11,1.41011E+11,1.43711E+11,1.57927E+11,1.71575E+11,1.70734E+11,1.71594E+11,1.73874E+11,1.7989E+11,1.85265E+11,1.92966E+11,2.00722E+11,2.05575E+11,2.15249E+11,2.17074E+11,2.27071E+11,2.39129E+11,2.53657E+11,2.71043E+11,2.884E+11,3.04254E+11,3.16773E+11,3.29343E+11,3.23609E+11,2.96458E+11
Austria,,,,,,,,,,,22278823569,23706469310,26111513804,27532168504,30481145035,29749842898,33040000191,33831081772,36784051440,40949555599,42457141744,44530512892,44492698473,45197441090,48958000782,53341897020,51180353992,52936776140,57307733239,63350301321,68780828807,70801125296,71735265251,70032871943,74016403783,79349577060,83030197458,92186619014,99424637308,1.05822E+11,1.20134E+11,1.27066E+11,1.32513E+11,1.33217E+11,1.44755E+11,1.54403E+11,1.66101E+11,1.78678E+11,1.82556E+11,1.56326E+11,1.76854E+11,1.87351E+11,1.90044E+11,1.91262E+11,1.96785E+11,2.02785E+11,2.08844E+11,2.19074E+11,2.30331E+11,2.38201E+11,2.12573E+11,2.39551E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20059340230,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69521595.99,58611696.03,61165076.93,56514441.85,70871405.85,67933857.25,108926065.1,98364353.45,115040251.5,127136130.3,141642102.1,229158001.9,147583143.6,215351278.8,211990618.3,294269904.2,234835993.6,231058540.4,199192403.2,210480125.1,278167424.7,308765980.5,307280754.5,261495922,309088179.8
