Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162569832,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,66149431610,70938039649,61640114599,54844409587,62371649944,56351390239,56636383332,60212782268,70486456941,72005514338,70153110835,71549277083,72808100935,76923279256,86780998227,97784905593,1.05337E+11,1.14799E+11,1.19765E+11,1.14772E+11,1.19845E+11,1.22267E+11,1.28288E+11,1.39358E+11,1.5487E+11,1.71167E+11,1.91464E+11,2.10193E+11,2.27471E+11,2.1157E+11,2.23308E+11,2.39922E+11,2.5464E+11,2.65706E+11,2.72728E+11,2.71347E+11,2.54868E+11,2.57138E+11,2.64832E+11,2.72519E+11,2.48513E+11,2.9161E+11
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56590397516,69730838723,60188862480,70976677696,61126920162,56706711098,76258834011,95626041609,93743210806,72137080043,77836371250,1.07718E+11,1.12508E+11,1.55175E+11,1.16896E+11,1.47042E+11,1.8639E+11,2.30311E+11,2.03907E+11,1.82856E+11,1.77188E+11,1.75148E+11,1.55857E+11,1.6443E+11,1.681E+11,1.53865E+11,1.50629E+11,1.53687E+11,1.84931E+11,2.12895E+11,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22148491427,24294680247,26026890947,29137104414,30987310543,33342346147,39400650441,39213720120,34610720291,38400608632,38366256175,40046180096,37980404998,28899168159,21749831533,22057589483,18304641544,16283569234,12743221641,13635247154
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227048505,1120407419,1333014465,1538629122,2300872130,2651107711,2911350529,3060633195,3312101590,3848503242,4183558823,4994570118,5175492731,5116479392,5087164545,5401870345,5040261183,5007820582,5221093228,5070976019,5421893718,5874936824,6015756951,6153496458,4935756992,6500647674
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42806E+11,3.63752E+11,4.01816E+11,4.80933E+11,5.60822E+11,6.44818E+11,8.0151E+11,9.45234E+11,8.59752E+11,8.49409E+11,8.93796E+11,9.84274E+11,1.03304E+12,1.07961E+12,1.03727E+12,9.7605E+11,1.0518E+12,1.11724E+12,1.11157E+12,9.53172E+11,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72781954971,82198726797,95341250350,1.23694E+11,1.42167E+11,1.68035E+11,2.2594E+11,2.74287E+11,2.3135E+11,1.84193E+11,2.19203E+11,2.37976E+11,2.57077E+11,2.82437E+11,2.66276E+11,2.73341E+11,2.81412E+11,3.12187E+11,2.95031E+11,2.76067E+11,
Argentina,5781578754,6832490130,6832490130,5255319314,6307034462,6307034462,5781586316,5781586316,6307034462,7883389281,6397858479,7160082050,6811402885,6722205024,7087106326,7216836223,5700500111,7816908932,7411452871,11457697349,16769053808,15387464167,8835486126,8223741300,8610677488,7488023414,8825941665,9839615866,8933579592,7458048128,7316351405,13173507667,21826389356,25058137515,30353180910,27376556730,32175418246,40821452847,44256140758,39269903518,39208026467,33739846878,16849830034,23179531292,32479571850,37627009712,41762919037,49965275067,56741659099,46291865845,62588647492,76376060674,72764799491,75590170049,66912422372,70064879912,74145572745,85700267253,81876889517,66329039460,54479317990,66198697574
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3526316742,2493916418,2483362891,2779161584,2635235061,2590413072,2772344494,2962750256,3503420265,4463653984,4317744862,4929000481,5114378575,5778981359,6199582120,5012137467,5653691266,5523658187,5372726481,5372726481,5227662866,4427830447,4706783765,5864652572,6644651364,7415430922,5086985612,5641467044
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897750000,891782051.3,776685897.4,777538461.5,748551282.1,720416666.7,735762820.5,640275641,569512820.5,529442307.7,550756410.3,573775641,641980769.2,665000000,643685897.4,569512820.5,566102564.1,535410256.4,607025641,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852148148.1,,,,,,
Australia,11699922489,13164314608,11287610526,13243429819,14731404356,17542276502,18025335720,18329624992,20141667604,20836207866,22572938883,23265957699,21410553866,21680610594,28257062475,28984313833,27563282936,30187017179,28772832790,31094559931,31125749582,34068987560,38009533626,34801563981,36885945491,43024220820,42922283914,40893435197,45482878134,56800156864,59990629876,56562050509,58540691497,62401361629,67082091348,78045633800,81703190844,89787396064,98986821465,1.04048E+11,1.16583E+11,1.15447E+11,1.17005E+11,1.32446E+11,1.50325E+11,1.69115E+11,1.83424E+11,2.02434E+11,2.31758E+11,2.23155E+11,2.38653E+11,2.63542E+11,2.93326E+11,2.95372E+11,2.86771E+11,2.91126E+11,2.90178E+11,3.05405E+11,3.26651E+11,3.27311E+11,3.02217E+11,2.93513E+11
Austria,,,,,,,,,,,25760527167,27380225151,30705896842,33639260308,35962184205,34290395700,40262930218,43661689961,43221448560,47649871770,50369587433,50064179586,48247379966,50262629281,53601732735,56570166793,54566880246,56658444077,62008399846,68307438490,73758597368,77530881282,79171520212,74825421750,82556032700,87430869531,91077505548,97699023004,1.03324E+11,1.07523E+11,1.18476E+11,1.24627E+11,1.2499E+11,1.29374E+11,1.39691E+11,1.47312E+11,1.55936E+11,1.64723E+11,1.66295E+11,1.46507E+11,1.64043E+11,1.73811E+11,1.75416E+11,1.76634E+11,1.81856E+11,1.88458E+11,1.95479E+11,2.05819E+11,2.16811E+11,2.21101E+11,2.0037E+11,2.29396E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18473453055,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50193969.78,69612586.57,63443495.29,71454901.54,83685124.91,98022653.86,137809787.3,175199387.5,283316216.9,364792411.4,354934225.4,433848100.8,352630653,396392115.2,436559638.7,489347081.8,549686167.6,520507899.3,509708738.8,451305912.5,509817881.9,606683177.5,710426000.9,734478965,833633625.3
Belgium,,,,,,,,,,,57493506749,59588892852,65291000246,77426317459,80845799574,73503067673,82606798462,86547906968,88857272617,96815234963,94955420638,93117839841,94379349340,93216377899,99175253205,99579152511,1.04149E+11,1.11182E+11,1.22767E+11,1.34668E+11,1.41224E+11,1.45262E+11,1.51243E+11,1.50697E+11,1.61668E+11,1.69189E+11,1.78585E+11,1.93234E+11,2.03008E+11,2.09856E+11,2.37169E+11,2.35378E+11,2.37863E+11,2.41335E+11,2.56555E+11,2.73043E+11,2.87082E+11,3.03099E+11,3.14632E+11,2.80467E+11,3.07638E+11,3.24943E+11,3.2275E+11,3.2206E+11,3.39864E+11,3.53165E+11,3.79482E+11,3.99288E+11,4.04787E+11,4.11462E+11,3.87003E+11,4.22068E+11
Benin,189092484.4,153130372.9,160089900.4,199532476.2,218093741.3,277255849.6,356140359.2,444305159.2,468665425.6,509267253.9,551032187.3,659263083.7,711460217,702520239.7,711171731.1,754424349.1,704751916.3,771826490.5,815958223.6,1040219409,1227147243,1343019802,1030147837,761903658.2,762805336.7,899857839.1,778246134.5,713430123.6,736838875.2,567059461.5,767631072,969160753.4,1156093838,1252492379,1103339869,1164091033,1042295348,1161484127,1276214981,1488214287,1330723215,1509663274,1457692422,1532299932,1474045695,1409064269,1513679713,1972357662,2055468993,2152935168,2311167745,2205626031,2456235645,3212044041,3683947783,3648295526,3768810732,4308626250,4517107153,4670415418,3746009206,
Burkina Faso,,,,,,374918517.4,382360509.6,456854091.4,521404112.5,551205644,486651209.9,581100564.8,620834285.3,645662381.7,663049843.7,784737892.1,715207477.3,901452421.1,903934174,912067739.3,1003949207,1076821439,1052529026,917591581.1,854617169.7,1066692712,1132411351,1101273560,1128843465,993236638.4,1048548971,1039520804,914498575.7,971650350.5,830395530.7,931478197.1,1039154375,1050531913,1279515369,1161728540,1112364127,995442521,1048367089,1049504292,1271612540,1372735331,1405360379,1463844533,1717867019,1934229542,2417735413,2906419028,3444495307,3853450521,3510311629,3902427844,4188141067,4611433489,5003464409,5433639267,,
Bangladesh,6050892188,8006169829,7944495541,9290857836,10806799121,10763180003,11200085088,13085822658,12366393983,13363340003,14948464287,11718866440,11705994604,5806697060,3638638802,3244740710,4465700273,2470724735,3919970864,4349730698,5804206661,2756330833,3015549203,2890481637,2703518281,2899305358,2778736158,2937173817,3157247748,3632322833,3970590458,3374309256,3077685086,4229321180,3970863883,5892618861,6724041492,6928534129,7238306855,7405191651,8163033381,9211871249,8765332797,9514729162,17578413340,24269247327,28683932320,33269355819,32636828007,31788383084,32006596023,41337467665,45685573660,46242093182,46782350593,48280651359,44856643271,47173130049,58464008219,58759535075,52055329517,60002065791
Bulgaria,,,,,,,,,,,,,,,,,,,,,57748800606,62088772189,61172559312,64461660661,70620545500,78384161970,80478187231,86648894361,75823035173,65962373555,20116137754,6809755158,8204768533,8967736228,7790885967,10270094650,10131966674,10086700861,9860851848,11485239175,10376205509,11679615733,12414380526,14295278282,18046830084,20636190206,23920504988,29330439810,30757083428,24141755838,24075931195,26394734754,27811810247,29017715937,30509126049,31942310134,33587810020,36058364883,38136361936,40127086828,37962734074,42576038313
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8392339366,8130381663,9683466357,9724688834,9820558948,10663920703,10944846316,11431048727,13465489406,11692672194,13716222340,19389521517,24760643222,25527771247,23642093577,22301861702,21598600665,23240564363,24570936266,23202879220,23040106139,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222853784,2232011651,2146450831,1989541731,1973158179,2116548064,2180954947,2403559063,3907235681,3446181152,4023392693,4244013942,4083748445,3970569368,3984083941,4125124235,4714107381,5289610989,5094731368,4794275164,4208953127,4192469377,4505459186,4330855805,4266287150,4596584021,4323700000,4613724670,4984153605,4949486929,4734769001,3513149673,4273250264
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944264609,5288014184,5437850789,5777057018,6154681720,6796623454,6776165721,7967215307,8774413934,7515881539,7702170544,7926806139,7975568422,7971093952,8574952854,8727773965,9355717900,10071540527,10463280152,10599840499,9162534324,11638480654
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25743665432,25795152013,14703236741,11674370638,10343491314,7095635348,7861963432,9945383851,9756422685,9736909267,11041655408,12452435128,13723200267,15562176441,18573553147,18369202789,22334792976,23970997856,27926267663,25378672491,28481315594,33750359909,37429162981,35857139639,36576801981,32689583072,32231890793,35824302196,38439535329,40399951631,37410291944,39580079099
Belize,,,,,,,,,,,,,,,,,,,,,284755199.7,287619096,233518739.7,209660886.7,244165163.7,205948896.1,209855194.1,269221342,323456505.4,368189663.7,354772847,354759738.5,388790380.7,397116034.7,422210675.4,400184365,422268366.1,473429647.1,522877755.7,651519354.9,782415360.1,776144619.5,796502301.9,813350039.1,752659895,802756386.2,806457783,809329556.4,916095709,720559850.3,798735903.5,895865661,911500871.6,1007354285,1042453738,1142200000,1160387898,1153304190,1106462376,1144944139,895291306.3,990905711.9
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575610931,1552149000,1647976563,1594321050,1666243232,1686467355,1327781141,1439148165
